Quality	Count	Library
32	19.0	FJVN70_R1_rmphix_fastqc
33	3332.0	FJVN70_R1_rmphix_fastqc
34	106763.0	FJVN70_R1_rmphix_fastqc
35	1507533.0	FJVN70_R1_rmphix_fastqc
36	2.0233889E7	FJVN70_R1_rmphix_fastqc
37	3936757.0	FJVN70_R1_rmphix_fastqc
31	1.0	FJVN70_R2_rmphix_fastqc
32	22.0	FJVN70_R2_rmphix_fastqc
33	1816.0	FJVN70_R2_rmphix_fastqc
34	71587.0	FJVN70_R2_rmphix_fastqc
35	1497829.0	FJVN70_R2_rmphix_fastqc
36	2.0786651E7	FJVN70_R2_rmphix_fastqc
37	3430387.0	FJVN70_R2_rmphix_fastqc
32	23.0	FJVN81_R1_rmphix_fastqc
33	2786.0	FJVN81_R1_rmphix_fastqc
34	95358.0	FJVN81_R1_rmphix_fastqc
35	1430268.0	FJVN81_R1_rmphix_fastqc
36	2.0893635E7	FJVN81_R1_rmphix_fastqc
37	4297116.0	FJVN81_R1_rmphix_fastqc
31	1.0	FJVN81_R2_rmphix_fastqc
32	16.0	FJVN81_R2_rmphix_fastqc
33	2758.0	FJVN81_R2_rmphix_fastqc
34	103857.0	FJVN81_R2_rmphix_fastqc
35	2006740.0	FJVN81_R2_rmphix_fastqc
36	2.1685542E7	FJVN81_R2_rmphix_fastqc
37	2920272.0	FJVN81_R2_rmphix_fastqc
32	32.0	FJVN82_R1_rmphix_fastqc
33	4518.0	FJVN82_R1_rmphix_fastqc
34	145944.0	FJVN82_R1_rmphix_fastqc
35	2044291.0	FJVN82_R1_rmphix_fastqc
36	2.8889242E7	FJVN82_R1_rmphix_fastqc
37	6120142.0	FJVN82_R1_rmphix_fastqc
32	14.0	FJVN82_R2_rmphix_fastqc
33	2597.0	FJVN82_R2_rmphix_fastqc
34	103513.0	FJVN82_R2_rmphix_fastqc
35	2115482.0	FJVN82_R2_rmphix_fastqc
36	2.9869214E7	FJVN82_R2_rmphix_fastqc
37	5113349.0	FJVN82_R2_rmphix_fastqc
32	18.0	FJVN83_R1_rmphix_fastqc
33	3053.0	FJVN83_R1_rmphix_fastqc
34	99032.0	FJVN83_R1_rmphix_fastqc
35	1421446.0	FJVN83_R1_rmphix_fastqc
36	2.0015057E7	FJVN83_R1_rmphix_fastqc
37	4018099.0	FJVN83_R1_rmphix_fastqc
32	15.0	FJVN83_R2_rmphix_fastqc
33	2068.0	FJVN83_R2_rmphix_fastqc
34	81228.0	FJVN83_R2_rmphix_fastqc
35	1641864.0	FJVN83_R2_rmphix_fastqc
36	2.0664293E7	FJVN83_R2_rmphix_fastqc
37	3167237.0	FJVN83_R2_rmphix_fastqc
32	10.0	FJVN84_R1_rmphix_fastqc
33	1832.0	FJVN84_R1_rmphix_fastqc
34	65493.0	FJVN84_R1_rmphix_fastqc
35	1108505.0	FJVN84_R1_rmphix_fastqc
36	1.8822561E7	FJVN84_R1_rmphix_fastqc
37	4109123.0	FJVN84_R1_rmphix_fastqc
32	29.0	FJVN84_R2_rmphix_fastqc
33	5533.0	FJVN84_R2_rmphix_fastqc
34	195790.0	FJVN84_R2_rmphix_fastqc
35	3111951.0	FJVN84_R2_rmphix_fastqc
36	1.9190622E7	FJVN84_R2_rmphix_fastqc
37	1603599.0	FJVN84_R2_rmphix_fastqc
32	21.0	FJVN85_R1_rmphix_fastqc
33	3151.0	FJVN85_R1_rmphix_fastqc
34	103463.0	FJVN85_R1_rmphix_fastqc
35	1496092.0	FJVN85_R1_rmphix_fastqc
36	2.0271997E7	FJVN85_R1_rmphix_fastqc
37	4028786.0	FJVN85_R1_rmphix_fastqc
32	10.0	FJVN85_R2_rmphix_fastqc
33	1742.0	FJVN85_R2_rmphix_fastqc
34	70862.0	FJVN85_R2_rmphix_fastqc
35	1515986.0	FJVN85_R2_rmphix_fastqc
36	2.0906947E7	FJVN85_R2_rmphix_fastqc
37	3407963.0	FJVN85_R2_rmphix_fastqc
32	18.0	FJVN86_R1_rmphix_fastqc
33	3398.0	FJVN86_R1_rmphix_fastqc
34	109507.0	FJVN86_R1_rmphix_fastqc
35	1562581.0	FJVN86_R1_rmphix_fastqc
36	2.1382737E7	FJVN86_R1_rmphix_fastqc
37	4250600.0	FJVN86_R1_rmphix_fastqc
32	11.0	FJVN86_R2_rmphix_fastqc
33	1721.0	FJVN86_R2_rmphix_fastqc
34	69283.0	FJVN86_R2_rmphix_fastqc
35	1472093.0	FJVN86_R2_rmphix_fastqc
36	2.1890244E7	FJVN86_R2_rmphix_fastqc
37	3875489.0	FJVN86_R2_rmphix_fastqc
32	17.0	FJVN87_R1_rmphix_fastqc
33	3107.0	FJVN87_R1_rmphix_fastqc
34	102175.0	FJVN87_R1_rmphix_fastqc
35	1484278.0	FJVN87_R1_rmphix_fastqc
36	2.0747289E7	FJVN87_R1_rmphix_fastqc
37	4211455.0	FJVN87_R1_rmphix_fastqc
32	11.0	FJVN87_R2_rmphix_fastqc
33	2039.0	FJVN87_R2_rmphix_fastqc
34	79636.0	FJVN87_R2_rmphix_fastqc
35	1655393.0	FJVN87_R2_rmphix_fastqc
36	2.1500156E7	FJVN87_R2_rmphix_fastqc
37	3311086.0	FJVN87_R2_rmphix_fastqc
32	18.0	FJVN88_R1_rmphix_fastqc
33	2997.0	FJVN88_R1_rmphix_fastqc
34	99406.0	FJVN88_R1_rmphix_fastqc
35	1453099.0	FJVN88_R1_rmphix_fastqc
36	2.1319589E7	FJVN88_R1_rmphix_fastqc
37	4589345.0	FJVN88_R1_rmphix_fastqc
32	11.0	FJVN88_R2_rmphix_fastqc
33	2161.0	FJVN88_R2_rmphix_fastqc
34	88340.0	FJVN88_R2_rmphix_fastqc
35	1807590.0	FJVN88_R2_rmphix_fastqc
36	2.2355495E7	FJVN88_R2_rmphix_fastqc
37	3210857.0	FJVN88_R2_rmphix_fastqc
32	29.0	FJVN97_R1_rmphix_fastqc
33	3120.0	FJVN97_R1_rmphix_fastqc
34	101621.0	FJVN97_R1_rmphix_fastqc
35	1456758.0	FJVN97_R1_rmphix_fastqc
36	2.0432384E7	FJVN97_R1_rmphix_fastqc
37	4321311.0	FJVN97_R1_rmphix_fastqc
32	14.0	FJVN97_R2_rmphix_fastqc
33	1806.0	FJVN97_R2_rmphix_fastqc
34	75520.0	FJVN97_R2_rmphix_fastqc
35	1573955.0	FJVN97_R2_rmphix_fastqc
36	2.1171447E7	FJVN97_R2_rmphix_fastqc
37	3492481.0	FJVN97_R2_rmphix_fastqc
32	12.0	FJVN98_R1_rmphix_fastqc
33	3101.0	FJVN98_R1_rmphix_fastqc
34	104842.0	FJVN98_R1_rmphix_fastqc
35	1517727.0	FJVN98_R1_rmphix_fastqc
36	2.2177413E7	FJVN98_R1_rmphix_fastqc
37	4724935.0	FJVN98_R1_rmphix_fastqc
32	10.0	FJVN98_R2_rmphix_fastqc
33	2166.0	FJVN98_R2_rmphix_fastqc
34	85547.0	FJVN98_R2_rmphix_fastqc
35	1758893.0	FJVN98_R2_rmphix_fastqc
36	2.3109232E7	FJVN98_R2_rmphix_fastqc
37	3572182.0	FJVN98_R2_rmphix_fastqc
32	17.0	FJVN99_R1_rmphix_fastqc
33	2778.0	FJVN99_R1_rmphix_fastqc
34	96943.0	FJVN99_R1_rmphix_fastqc
