Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
2	36.68857518249254	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
3	36.75410235604522	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
4	36.79815318970377	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
5	36.8106818194634	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
6	36.819509517456694	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
7	36.8200619777542	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
8	36.81607069905128	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
9	36.82457234980156	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
10-14	36.82022708583805	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
15-19	36.81168477251652	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
20-24	36.800039317004135	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
25-29	36.78774601370884	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
30-34	36.77007650871225	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
35-39	36.75581667075976	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
40-44	36.747217439171905	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
45-49	36.72760893308779	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
50-54	36.70662004726595	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
55-59	36.71026412561518	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
60-64	36.6999059770665	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
65-69	36.69017958900865	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
70-74	36.679481992841524	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
75-79	36.68427306503252	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
80-84	36.68065686354257	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
85-89	36.67658680315674	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
90-94	36.672542021188896	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
95-99	36.65765872335542	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
100-104	36.63922137949968	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
105-109	36.63245725745291	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
110-114	36.6346198465521	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
115-119	36.629419241972926	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
120-124	36.61095438835901	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
125-129	36.60794917834939	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
130-134	36.60450433098525	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
135-139	36.59868796437818	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
140-144	36.5716514068985	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
145-149	36.53864540729476	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
150-151	36.77596219379675	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
1	36.732194579114584	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
2	36.7749707796103	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
3	36.7749220903035	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
4	36.7960214380729	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
5	36.80743223601558	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
6	36.80460957845444	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
7	36.79898596351841	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
8	36.7915831666444	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
9	36.800277863496106	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
10-14	36.78901318014091	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
15-19	36.79175986371661	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
20-24	36.78435339569998	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
25-29	36.768717765938604	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
30-34	36.75438424068695	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
35-39	36.739304664587266	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
40-44	36.73076675352574	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
45-49	36.7127802235858	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
50-54	36.688904191045765	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
55-59	36.689373930261006	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
60-64	36.69307808015416	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
65-69	36.67884660836813	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
70-74	36.667440819999065	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
75-79	36.66431256934417	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
80-84	36.665028558545856	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
85-89	36.67538286073078	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
90-94	36.668173719654625	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
95-99	36.663561392055115	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
100-104	36.65402269367415	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
105-109	36.648520577896335	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
110-114	36.63991186267691	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
115-119	36.631369564020076	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
120-124	36.62483555330864	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
125-129	36.60217036767416	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
130-134	36.59894829001026	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
135-139	36.575768675492505	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
140-144	36.567549945566554	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
145-149	36.55573917634578	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
150-151	36.78617838772347	37.0	37.0	37.0	37.0	37.0	FJVN101_R2_rmphix_fastqc
1	36.64466079025914	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
2	36.693812957771634	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
3	36.759803098021216	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
4	36.80010263015052	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
5	36.81155569447332	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
6	36.82213071634589	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
7	36.823558817332284	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
8	36.81900548523619	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
9	36.82782651527731	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
10-14	36.82330921187579	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
15-19	36.81599027978751	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
20-24	36.80540384371193	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
25-29	36.793220786686966	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
30-34	36.77645315502246	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
35-39	36.76163333337984	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
40-44	36.7534774946243	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
45-49	36.73454377374761	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
50-54	36.714343189433315	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
55-59	36.716498220979375	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
60-64	36.70659404778738	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
65-69	36.6960722155541	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
70-74	36.684233666431155	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
75-79	36.68990206602783	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
80-84	36.68635503745959	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
85-89	36.68132119956774	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
90-94	36.67743341621465	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
95-99	36.662437231202105	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
100-104	36.64410568109387	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
105-109	36.637401444706136	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
110-114	36.63911663927714	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
115-119	36.63396855881297	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
120-124	36.61601220473093	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
125-129	36.61210230196062	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
130-134	36.60837490158257	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
135-139	36.60344892949574	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
140-144	36.57630384523475	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
145-149	36.54368400444101	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
150-151	36.778939890045756	37.0	37.0	37.0	37.0	37.0	FJVN102_R1_rmphix_fastqc
1	36.52503268676106	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
2	36.741084642315435	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
3	36.75348335521753	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
4	36.76504030553226	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
5	36.781774950429146	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
6	36.78234105582773	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
7	36.773828544158874	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
