Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
>50	1.3611286003128817E-5	0.0011942871827278754	FJVN104_R1_rmphix_fastqc
>100	0.0	0.0	FJVN104_R1_rmphix_fastqc
>500	0.0	0.0	FJVN104_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN104_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN104_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN104_R1_rmphix_fastqc
1	93.20165939703821	86.80357071997106	FJVN104_R2_rmphix_fastqc
2	6.330862948526344	11.792526296764938	FJVN104_R2_rmphix_fastqc
3	0.4237896494423606	1.1840922697218854	FJVN104_R2_rmphix_fastqc
4	0.033736237787427625	0.1256812774172471	FJVN104_R2_rmphix_fastqc
5	0.0038940865192600305	0.018133830274647218	FJVN104_R2_rmphix_fastqc
6	0.0012644620145520371	0.007065956890443915	FJVN104_R2_rmphix_fastqc
7	0.0015513732306668307	0.010114124122759593	FJVN104_R2_rmphix_fastqc
8	9.520881408808633E-4	0.007093835092916733	FJVN104_R2_rmphix_fastqc
9	3.634143322464618E-4	0.0030462006475528852	FJVN104_R2_rmphix_fastqc
>10	0.001809174951428333	0.021567819250815613	FJVN104_R2_rmphix_fastqc
>50	8.902981952067848E-5	0.00572437998104231	FJVN104_R2_rmphix_fastqc
>100	2.3901118296500786E-5	0.0024651462652074832	FJVN104_R2_rmphix_fastqc
>500	0.0	0.0	FJVN104_R2_rmphix_fastqc
>1k	4.237078812361296E-6	0.01891814359950674	FJVN104_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN104_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN104_R2_rmphix_fastqc
1	93.99465240720647	88.30137244267299	FJVN115_R1_rmphix_fastqc
2	5.6213647419429	10.561754504160575	FJVN115_R1_rmphix_fastqc
3	0.34941992434119923	0.9847664123850927	FJVN115_R1_rmphix_fastqc
4	0.027304349730624507	0.10260207333599428	FJVN115_R1_rmphix_fastqc
5	0.0034334661296679587	0.016127501071639096	FJVN115_R1_rmphix_fastqc
6	7.167736782527644E-4	0.00404015108729629	FJVN115_R1_rmphix_fastqc
7	0.0012312752782706873	0.008096876354041398	FJVN115_R1_rmphix_fastqc
8	6.747338867346883E-4	0.005070920671030354	FJVN115_R1_rmphix_fastqc
9	1.2019839646324219E-4	0.001016261541605442	FJVN115_R1_rmphix_fastqc
>10	0.0010761582493634605	0.013357821401508273	FJVN115_R1_rmphix_fastqc
>50	0.0	0.0	FJVN115_R1_rmphix_fastqc
>100	5.971160049833746E-6	0.0017950353181913734	FJVN115_R1_rmphix_fastqc
>500	0.0	0.0	FJVN115_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN115_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN115_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN115_R1_rmphix_fastqc
1	93.9111571469722	88.14989103179542	FJVN115_R2_rmphix_fastqc
2	5.711542743434661	10.722301497558316	FJVN115_R2_rmphix_fastqc
3	0.3464456657179452	0.9755757018417052	FJVN115_R2_rmphix_fastqc
4	0.025715449263016145	0.09655142665619347	FJVN115_R2_rmphix_fastqc
5	0.0021473607346835736	0.010078121733292691	FJVN115_R2_rmphix_fastqc
6	7.172577934297306E-4	0.004039532570145224	FJVN115_R2_rmphix_fastqc
7	9.240823036981998E-4	0.006071741611441017	FJVN115_R2_rmphix_fastqc
8	5.401541798912672E-4	0.004056134205503752	FJVN115_R2_rmphix_fastqc
9	3.6084123549072104E-4	0.0030483389726158766	FJVN115_R2_rmphix_fastqc
>10	3.4679090707411073E-4	0.00520311393891938	FJVN115_R2_rmphix_fastqc
>50	9.812786054297832E-5	0.005654406475280257	FJVN115_R2_rmphix_fastqc
>100	0.0	0.0	FJVN115_R2_rmphix_fastqc
>500	0.0	0.0	FJVN115_R2_rmphix_fastqc
>1k	4.379597343997085E-6	0.01752895264116166	FJVN115_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN115_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN115_R2_rmphix_fastqc
1	94.59914318465866	89.45351658396679	FJVN116_R1_rmphix_fastqc
2	5.090156555162649	9.626565072231466	FJVN116_R1_rmphix_fastqc
3	0.28870446327219956	0.8190020107086908	FJVN116_R1_rmphix_fastqc
4	0.015420515422545734	0.05832692710086675	FJVN116_R1_rmphix_fastqc
5	0.0034097819522930606	0.016121551218585627	FJVN116_R1_rmphix_fastqc
6	8.896938178454345E-4	0.005047798828406046	FJVN116_R1_rmphix_fastqc
7	6.112634206694424E-4	0.004046100470688579	FJVN116_R1_rmphix_fastqc
8	4.019220278653976E-4	0.003040479021247586	FJVN116_R1_rmphix_fastqc
9	4.7727815367191166E-4	0.004061853735417478	FJVN116_R1_rmphix_fastqc
>10	7.853421115857188E-4	0.010271622717839617	FJVN116_R1_rmphix_fastqc
>50	0.0	0.0	FJVN116_R1_rmphix_fastqc
>100	0.0	0.0	FJVN116_R1_rmphix_fastqc
>500	0.0	0.0	FJVN116_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN116_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN116_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN116_R1_rmphix_fastqc
1	94.46074696828643	89.18039511227477	FJVN116_R2_rmphix_fastqc
2	5.222189764233657	9.860539143989428	FJVN116_R2_rmphix_fastqc
3	0.2923126601442276	0.8279171835281285	FJVN116_R2_rmphix_fastqc
4	0.018638048318242614	0.07038472874666478	FJVN116_R2_rmphix_fastqc
5	0.0029879086493786533	0.0141044233961241	FJVN116_R2_rmphix_fastqc
6	8.909931884230505E-4	0.005047120235832359	FJVN116_R2_rmphix_fastqc
7	7.651972249921675E-4	0.005056959121927102	FJVN116_R2_rmphix_fastqc
8	2.6834077462745316E-4	0.0020267242912270834	FJVN116_R2_rmphix_fastqc
9	5.974737647823724E-4	0.0050766750539628066	FJVN116_R2_rmphix_fastqc
>10	5.293026329425375E-4	0.010463548582918909	FJVN116_R2_rmphix_fastqc
>50	6.920919742981702E-5	0.004584188176992595	FJVN116_R2_rmphix_fastqc
>100	0.0	0.0	FJVN116_R2_rmphix_fastqc
>500	0.0	0.0	FJVN116_R2_rmphix_fastqc
>1k	4.133584861144478E-6	0.014404192602037317	FJVN116_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN116_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN116_R2_rmphix_fastqc
1	94.56077536106966	89.40485462338505	FJVN117_R1_rmphix_fastqc
2	5.143711574255085	9.72650200392132	FJVN117_R1_rmphix_fastqc
3	0.27422218274088933	0.7778107028683486	FJVN117_R1_rmphix_fastqc
4	0.018346171971472324	0.06938339207740399	FJVN117_R1_rmphix_fastqc
5	0.0012787077441271106	0.006044931396393099	FJVN117_R1_rmphix_fastqc
