Length	Count	Library
65-69	209685.0	FJVN115_R1_rmphix_fastqc
70-74	207516.0	FJVN115_R1_rmphix_fastqc
75-79	198556.0	FJVN115_R1_rmphix_fastqc
80-84	194175.0	FJVN115_R1_rmphix_fastqc
85-89	190839.0	FJVN115_R1_rmphix_fastqc
90-94	189258.0	FJVN115_R1_rmphix_fastqc
95-99	195850.0	FJVN115_R1_rmphix_fastqc
100-104	211515.0	FJVN115_R1_rmphix_fastqc
105-109	207425.0	FJVN115_R1_rmphix_fastqc
110-114	202194.0	FJVN115_R1_rmphix_fastqc
115-119	201997.0	FJVN115_R1_rmphix_fastqc
120-124	218501.0	FJVN115_R1_rmphix_fastqc
125-129	221158.0	FJVN115_R1_rmphix_fastqc
130-134	221347.0	FJVN115_R1_rmphix_fastqc
135-139	219751.0	FJVN115_R1_rmphix_fastqc
140-144	242455.0	FJVN115_R1_rmphix_fastqc
145-149	304444.0	FJVN115_R1_rmphix_fastqc
150-152	2.1314266E7	FJVN115_R1_rmphix_fastqc
50-54	217728.0	FJVN115_R2_rmphix_fastqc
55-59	218522.0	FJVN115_R2_rmphix_fastqc
60-64	209458.0	FJVN115_R2_rmphix_fastqc
65-69	229101.0	FJVN115_R2_rmphix_fastqc
70-74	218060.0	FJVN115_R2_rmphix_fastqc
75-79	221193.0	FJVN115_R2_rmphix_fastqc
80-84	218810.0	FJVN115_R2_rmphix_fastqc
85-89	216899.0	FJVN115_R2_rmphix_fastqc
90-94	218657.0	FJVN115_R2_rmphix_fastqc
95-99	218227.0	FJVN115_R2_rmphix_fastqc
100-104	222319.0	FJVN115_R2_rmphix_fastqc
105-109	223885.0	FJVN115_R2_rmphix_fastqc
110-114	227220.0	FJVN115_R2_rmphix_fastqc
115-119	233455.0	FJVN115_R2_rmphix_fastqc
120-124	238209.0	FJVN115_R2_rmphix_fastqc
125-129	247400.0	FJVN115_R2_rmphix_fastqc
130-134	254118.0	FJVN115_R2_rmphix_fastqc
135-139	272280.0	FJVN115_R2_rmphix_fastqc
140-144	277079.0	FJVN115_R2_rmphix_fastqc
145-149	324577.0	FJVN115_R2_rmphix_fastqc
150-152	2.0927772E7	FJVN115_R2_rmphix_fastqc
50-54	260422.0	FJVN116_R1_rmphix_fastqc
55-59	239061.0	FJVN116_R1_rmphix_fastqc
60-64	229831.0	FJVN116_R1_rmphix_fastqc
65-69	220837.0	FJVN116_R1_rmphix_fastqc
70-74	219488.0	FJVN116_R1_rmphix_fastqc
75-79	209053.0	FJVN116_R1_rmphix_fastqc
80-84	204380.0	FJVN116_R1_rmphix_fastqc
85-89	199935.0	FJVN116_R1_rmphix_fastqc
90-94	199256.0	FJVN116_R1_rmphix_fastqc
95-99	204729.0	FJVN116_R1_rmphix_fastqc
100-104	220753.0	FJVN116_R1_rmphix_fastqc
105-109	217067.0	FJVN116_R1_rmphix_fastqc
110-114	209278.0	FJVN116_R1_rmphix_fastqc
115-119	210042.0	FJVN116_R1_rmphix_fastqc
120-124	225651.0	FJVN116_R1_rmphix_fastqc
125-129	227244.0	FJVN116_R1_rmphix_fastqc
130-134	227269.0	FJVN116_R1_rmphix_fastqc
135-139	225120.0	FJVN116_R1_rmphix_fastqc
140-144	249035.0	FJVN116_R1_rmphix_fastqc
145-149	314784.0	FJVN116_R1_rmphix_fastqc
150-152	2.2438947E7	FJVN116_R1_rmphix_fastqc
50-54	217948.0	FJVN116_R2_rmphix_fastqc
55-59	218673.0	FJVN116_R2_rmphix_fastqc
60-64	210340.0	FJVN116_R2_rmphix_fastqc
65-69	229403.0	FJVN116_R2_rmphix_fastqc
70-74	219576.0	FJVN116_R2_rmphix_fastqc
75-79	220526.0	FJVN116_R2_rmphix_fastqc
80-84	217587.0	FJVN116_R2_rmphix_fastqc
85-89	215781.0	FJVN116_R2_rmphix_fastqc
90-94	216269.0	FJVN116_R2_rmphix_fastqc
95-99	215572.0	FJVN116_R2_rmphix_fastqc
100-104	218780.0	FJVN116_R2_rmphix_fastqc
105-109	219864.0	FJVN116_R2_rmphix_fastqc
110-114	221916.0	FJVN116_R2_rmphix_fastqc
115-119	227343.0	FJVN116_R2_rmphix_fastqc
120-124	232237.0	FJVN116_R2_rmphix_fastqc
125-129	241427.0	FJVN116_R2_rmphix_fastqc
130-134	248369.0	FJVN116_R2_rmphix_fastqc
135-139	263092.0	FJVN116_R2_rmphix_fastqc
140-144	269674.0	FJVN116_R2_rmphix_fastqc
145-149	316305.0	FJVN116_R2_rmphix_fastqc
150-152	2.23115E7	FJVN116_R2_rmphix_fastqc
50-54	259602.0	FJVN117_R1_rmphix_fastqc
55-59	239346.0	FJVN117_R1_rmphix_fastqc
60-64	229253.0	FJVN117_R1_rmphix_fastqc
65-69	221467.0	FJVN117_R1_rmphix_fastqc
70-74	221525.0	FJVN117_R1_rmphix_fastqc
75-79	211248.0	FJVN117_R1_rmphix_fastqc
80-84	207278.0	FJVN117_R1_rmphix_fastqc
85-89	202881.0	FJVN117_R1_rmphix_fastqc
90-94	201287.0	FJVN117_R1_rmphix_fastqc
95-99	208570.0	FJVN117_R1_rmphix_fastqc
100-104	224462.0	FJVN117_R1_rmphix_fastqc
105-109	220416.0	FJVN117_R1_rmphix_fastqc
110-114	213171.0	FJVN117_R1_rmphix_fastqc
115-119	214270.0	FJVN117_R1_rmphix_fastqc
120-124	229828.0	FJVN117_R1_rmphix_fastqc
125-129	233854.0	FJVN117_R1_rmphix_fastqc
130-134	234751.0	FJVN117_R1_rmphix_fastqc
135-139	230898.0	FJVN117_R1_rmphix_fastqc
140-144	254013.0	FJVN117_R1_rmphix_fastqc
145-149	321344.0	FJVN117_R1_rmphix_fastqc
150-152	2.2782801E7	FJVN117_R1_rmphix_fastqc
50-54	248039.0	FJVN117_R2_rmphix_fastqc
55-59	247886.0	FJVN117_R2_rmphix_fastqc
60-64	237566.0	FJVN117_R2_rmphix_fastqc
65-69	256394.0	FJVN117_R2_rmphix_fastqc
70-74	246536.0	FJVN117_R2_rmphix_fastqc
75-79	248334.0	FJVN117_R2_rmphix_fastqc
80-84	245807.0	FJVN117_R2_rmphix_fastqc
85-89	241695.0	FJVN117_R2_rmphix_fastqc
90-94	241834.0	FJVN117_R2_rmphix_fastqc
95-99	241852.0	FJVN117_R2_rmphix_fastqc
100-104	244178.0	FJVN117_R2_rmphix_fastqc
105-109	245753.0	FJVN117_R2_rmphix_fastqc
110-114	247522.0	FJVN117_R2_rmphix_fastqc
115-119	252839.0	FJVN117_R2_rmphix_fastqc
120-124	258514.0	FJVN117_R2_rmphix_fastqc
125-129	267537.0	FJVN117_R2_rmphix_fastqc
130-134	274082.0	FJVN117_R2_rmphix_fastqc
135-139	290729.0	FJVN117_R2_rmphix_fastqc
140-144	295618.0	FJVN117_R2_rmphix_fastqc
