Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
50-54	0.002100165429818155	2.4846385511958634E-4	8.783615184044093E-4	2.659399060913003E-5	0.002077370580724615	FJVN100_R1_rmphix_fastqc
55-59	0.002756657083712108	2.7657750233495235E-4	9.642221166567433E-4	2.659399060913003E-5	0.002284043879172711	FJVN100_R1_rmphix_fastqc
60-64	0.003538520407620531	2.986125231253744E-4	0.0010250083809061833	2.659399060913003E-5	0.0024800795813771552	FJVN100_R1_rmphix_fastqc
65-69	0.004340139267410022	3.168484024002064E-4	0.0010941527564899214	2.887347551848404E-5	0.0026631982024285937	FJVN100_R1_rmphix_fastqc
70-74	0.005069574438403303	3.282458269469764E-4	0.0011952099208046157	3.191278873095604E-5	0.002860753561239274	FJVN100_R1_rmphix_fastqc
75-79	0.005877271924617738	3.4952101943428045E-4	0.0012727124077226517	3.6471758549664044E-5	0.003079584112537258	FJVN100_R1_rmphix_fastqc
80-84	0.006690288208954	3.7611501004341055E-4	0.001343376439912626	3.799141515590005E-5	0.003295375350622771	FJVN100_R1_rmphix_fastqc
85-89	0.007456195138496944	4.004295157431865E-4	0.0014064421890714197	4.027090006525406E-5	0.0034929307094334503	FJVN100_R1_rmphix_fastqc
90-94	0.008204626017068176	4.1638591010866456E-4	0.001454311372167854	4.5589698187080063E-5	0.003714800573943907	FJVN100_R1_rmphix_fastqc
95-99	0.008791213467075273	4.232243648367266E-4	0.0015310540307827722	5.6987122733850076E-5	0.0038903209119641653	FJVN100_R1_rmphix_fastqc
100-104	0.00919468229603093	4.3994058750532265E-4	0.0016085565177008081	6.078626424944008E-5	0.004044566057497119	FJVN100_R1_rmphix_fastqc
105-109	0.009497093960671896	4.5133801205209264E-4	0.00167618123667831	6.078626424944008E-5	0.004236802618185974	FJVN100_R1_rmphix_fastqc
110-114	0.009771391978097493	4.6501492150821666E-4	0.0017726794311742964	6.078626424944008E-5	0.00445107419966525	FJVN100_R1_rmphix_fastqc
115-119	0.009960589225573876	4.946482253298187E-4	0.0018479024331829786	6.078626424944008E-5	0.004628114194291744	FJVN100_R1_rmphix_fastqc
120-124	0.010163463382506382	5.128841046046507E-4	0.0019048895559168285	6.078626424944008E-5	0.004790717451158997	FJVN100_R1_rmphix_fastqc
125-129	0.010364817882832653	5.296003272732468E-4	0.0019778330730161565	6.458540576503009E-5	0.004955600192935603	FJVN100_R1_rmphix_fastqc
130-134	0.010578329636008809	5.432772367293707E-4	0.0020545757316310746	6.762471897750209E-5	0.005133400015865215	FJVN100_R1_rmphix_fastqc
135-139	0.010848068683615701	5.569541461854947E-4	0.002122200450608577	6.838454728062009E-5	0.00530664086897612	FJVN100_R1_rmphix_fastqc
140	0.011028907819757785	5.622729443073208E-4	0.002150314097823943	6.838454728062009E-5	0.005413776659715757	FJVN100_R1_rmphix_fastqc
1	0.0	0.0	2.2794849093540032E-5	0.0	1.1397424546770016E-5	FJVN100_R2_rmphix_fastqc
2	0.0	7.59828303118001E-6	3.4192273640310044E-5	0.0	2.6593990609130035E-5	FJVN100_R2_rmphix_fastqc
3	0.0	1.1397424546770016E-5	5.318798121826007E-5	3.799141515590005E-6	5.318798121826007E-5	FJVN100_R2_rmphix_fastqc
4	3.799141515590005E-6	1.519656606236002E-5	7.59828303118001E-5	3.799141515590005E-6	8.738025485857011E-5	FJVN100_R2_rmphix_fastqc
5	3.799141515590005E-6	1.519656606236002E-5	8.738025485857011E-5	3.799141515590005E-6	1.329699530456502E-4	FJVN100_R2_rmphix_fastqc
6	3.799141515590005E-6	1.519656606236002E-5	9.877767940534014E-5	3.799141515590005E-6	1.7855965123273024E-4	FJVN100_R2_rmphix_fastqc
7	3.799141515590005E-6	2.6593990609130035E-5	1.0637596243652014E-4	3.799141515590005E-6	2.165510663886303E-4	FJVN100_R2_rmphix_fastqc
8	3.799141515590005E-6	2.6593990609130035E-5	1.1777338698329017E-4	3.799141515590005E-6	2.469441985133503E-4	FJVN100_R2_rmphix_fastqc
9	3.799141515590005E-6	2.6593990609130035E-5	1.2917081153006018E-4	7.59828303118001E-6	2.811364721536604E-4	FJVN100_R2_rmphix_fastqc
10-14	3.799141515590005E-6	3.951107176213605E-5	1.8615793426391024E-4	7.59828303118001E-6	4.034688289556585E-4	FJVN100_R2_rmphix_fastqc
15-19	1.2917081153006017E-5	5.8506779340086076E-5	2.7049887591000835E-4	7.59828303118001E-6	6.352164614066489E-4	FJVN100_R2_rmphix_fastqc
20-24	5.014866800578806E-5	7.598283031180011E-5	3.753551817402925E-4	7.59828303118001E-6	7.91741091848957E-4	FJVN100_R2_rmphix_fastqc
25-29	1.1321441716458215E-4	9.421870958663213E-5	5.022465083609987E-4	9.877767940534013E-6	9.596631468380354E-4	FJVN100_R2_rmphix_fastqc
30-34	2.553023098476483E-4	1.1245458886146418E-4	5.782293386727988E-4	1.1397424546770016E-5	0.0011374629697676476	FJVN100_R2_rmphix_fastqc
35-39	5.022465083609987E-4	1.3069046813629618E-4	6.625702803188969E-4	1.1397424546770016E-5	0.001343376439912626	FJVN100_R2_rmphix_fastqc
40-44	8.525273560983971E-4	1.5804428704854423E-4	7.719855559678891E-4	1.5956394365478022E-5	0.0015660061327262003	FJVN100_R2_rmphix_fastqc
45-49	0.0013221012474253218	1.7172119650466825E-4	8.221342239736771E-4	1.9755535881068025E-5	0.0017514042386869925	FJVN100_R2_rmphix_fastqc
50-54	0.0018387844935455623	1.9755535881068025E-4	8.950777410730052E-4	2.2794849093540032E-5	0.0019679553050756223	FJVN100_R2_rmphix_fastqc
55-59	0.002335712203784735	2.142715814792763E-4	9.93095592175227E-4	3.039313212472004E-5	0.0021541132393395326	FJVN100_R2_rmphix_fastqc
60-64	0.002913181714154416	2.1883055129798428E-4	0.0010774365338213254	3.723158685278205E-5	0.0023098780414787233	FJVN100_R2_rmphix_fastqc
65-69	0.0035248434981644066	2.3402711736034433E-4	0.0011693757584986036	3.799141515590005E-5	0.002521110309745527	FJVN100_R2_rmphix_fastqc
