GC_Content	Count	Library
71	1291699.0	FJVN100_R2_rmphix_fastqc
72	1194936.5	FJVN100_R2_rmphix_fastqc
73	1074459.0	FJVN100_R2_rmphix_fastqc
74	934971.5	FJVN100_R2_rmphix_fastqc
75	787344.5	FJVN100_R2_rmphix_fastqc
76	641979.5	FJVN100_R2_rmphix_fastqc
77	506701.0	FJVN100_R2_rmphix_fastqc
78	385114.5	FJVN100_R2_rmphix_fastqc
79	282436.5	FJVN100_R2_rmphix_fastqc
80	200392.0	FJVN100_R2_rmphix_fastqc
81	136922.5	FJVN100_R2_rmphix_fastqc
82	90682.0	FJVN100_R2_rmphix_fastqc
83	58645.5	FJVN100_R2_rmphix_fastqc
84	36682.5	FJVN100_R2_rmphix_fastqc
85	22083.5	FJVN100_R2_rmphix_fastqc
86	13186.0	FJVN100_R2_rmphix_fastqc
87	7785.5	FJVN100_R2_rmphix_fastqc
88	4374.5	FJVN100_R2_rmphix_fastqc
89	2420.5	FJVN100_R2_rmphix_fastqc
90	1335.5	FJVN100_R2_rmphix_fastqc
91	712.5	FJVN100_R2_rmphix_fastqc
92	377.0	FJVN100_R2_rmphix_fastqc
93	197.5	FJVN100_R2_rmphix_fastqc
94	103.0	FJVN100_R2_rmphix_fastqc
95	55.5	FJVN100_R2_rmphix_fastqc
96	26.0	FJVN100_R2_rmphix_fastqc
97	19.5	FJVN100_R2_rmphix_fastqc
98	15.0	FJVN100_R2_rmphix_fastqc
99	1180.5	FJVN100_R2_rmphix_fastqc
100	4257.0	FJVN100_R2_rmphix_fastqc
0	121.0	FJVN101_R1_rmphix_fastqc
1	110.5	FJVN101_R1_rmphix_fastqc
2	93.5	FJVN101_R1_rmphix_fastqc
3	105.0	FJVN101_R1_rmphix_fastqc
4	141.5	FJVN101_R1_rmphix_fastqc
5	172.0	FJVN101_R1_rmphix_fastqc
6	198.5	FJVN101_R1_rmphix_fastqc
7	262.5	FJVN101_R1_rmphix_fastqc
8	341.0	FJVN101_R1_rmphix_fastqc
9	415.5	FJVN101_R1_rmphix_fastqc
10	534.0	FJVN101_R1_rmphix_fastqc
11	700.5	FJVN101_R1_rmphix_fastqc
12	911.5	FJVN101_R1_rmphix_fastqc
13	1173.0	FJVN101_R1_rmphix_fastqc
14	1465.5	FJVN101_R1_rmphix_fastqc
15	1867.0	FJVN101_R1_rmphix_fastqc
16	2355.0	FJVN101_R1_rmphix_fastqc
17	2896.0	FJVN101_R1_rmphix_fastqc
18	3539.5	FJVN101_R1_rmphix_fastqc
19	4239.5	FJVN101_R1_rmphix_fastqc
20	5149.5	FJVN101_R1_rmphix_fastqc
21	6331.0	FJVN101_R1_rmphix_fastqc
22	7651.0	FJVN101_R1_rmphix_fastqc
23	9174.0	FJVN101_R1_rmphix_fastqc
24	11114.5	FJVN101_R1_rmphix_fastqc
25	13308.0	FJVN101_R1_rmphix_fastqc
26	15781.0	FJVN101_R1_rmphix_fastqc
27	18486.5	FJVN101_R1_rmphix_fastqc
28	21665.5	FJVN101_R1_rmphix_fastqc
29	25196.5	FJVN101_R1_rmphix_fastqc
30	28977.0	FJVN101_R1_rmphix_fastqc
31	33206.0	FJVN101_R1_rmphix_fastqc
32	37501.0	FJVN101_R1_rmphix_fastqc
33	42252.0	FJVN101_R1_rmphix_fastqc
34	47302.5	FJVN101_R1_rmphix_fastqc
35	52350.0	FJVN101_R1_rmphix_fastqc
36	57529.0	FJVN101_R1_rmphix_fastqc
37	63101.0	FJVN101_R1_rmphix_fastqc
38	69168.5	FJVN101_R1_rmphix_fastqc
39	75908.0	FJVN101_R1_rmphix_fastqc
40	83057.0	FJVN101_R1_rmphix_fastqc
41	90566.0	FJVN101_R1_rmphix_fastqc
42	99328.0	FJVN101_R1_rmphix_fastqc
43	109169.0	FJVN101_R1_rmphix_fastqc
44	120046.5	FJVN101_R1_rmphix_fastqc
45	132602.5	FJVN101_R1_rmphix_fastqc
46	147738.0	FJVN101_R1_rmphix_fastqc
47	165943.0	FJVN101_R1_rmphix_fastqc
48	187343.0	FJVN101_R1_rmphix_fastqc
49	212187.5	FJVN101_R1_rmphix_fastqc
50	240668.5	FJVN101_R1_rmphix_fastqc
51	273186.5	FJVN101_R1_rmphix_fastqc
52	311028.0	FJVN101_R1_rmphix_fastqc
53	353979.0	FJVN101_R1_rmphix_fastqc
54	401392.0	FJVN101_R1_rmphix_fastqc
55	453437.5	FJVN101_R1_rmphix_fastqc
56	510963.0	FJVN101_R1_rmphix_fastqc
57	572740.5	FJVN101_R1_rmphix_fastqc
58	639090.0	FJVN101_R1_rmphix_fastqc
59	711796.5	FJVN101_R1_rmphix_fastqc
60	789544.5	FJVN101_R1_rmphix_fastqc
61	874669.0	FJVN101_R1_rmphix_fastqc
62	963508.0	FJVN101_R1_rmphix_fastqc
63	1054440.0	FJVN101_R1_rmphix_fastqc
64	1145705.5	FJVN101_R1_rmphix_fastqc
65	1228594.0	FJVN101_R1_rmphix_fastqc
66	1301090.0	FJVN101_R1_rmphix_fastqc
67	1354156.5	FJVN101_R1_rmphix_fastqc
68	1380820.0	FJVN101_R1_rmphix_fastqc
69	1377439.5	FJVN101_R1_rmphix_fastqc
70	1339959.0	FJVN101_R1_rmphix_fastqc
71	1268065.0	FJVN101_R1_rmphix_fastqc
