DNAID	RarefactionFactor
JVD97	0.684552028213307
JVD98	0.563748343656871
JVD99	0.665522414673054
JVN1	0.0765074775623788
JVN10	0.641461383030569
JVN11	0.675448132128472
JVN113	0.650588913191433
JVN114	0.712095072348651
JVN115	0.707008035475588
JVN116	0.713561375172826
JVN117	0.634198730105281
JVN118	0.60451122001573
JVN119	0.677755610856669
JVN12	0.693614406829886
JVN120	0.672028648668181
JVN121	0.704664788159846
JVN122	0.673420191416651
JVN123	0.704820885388897
JVN124	0.63223531255229
JVN125	0.602770757331349
JVN126	0.639742682546224
JVN127	0.684573451577481
JVN128	0.501427536506951
JVN13	0.474047655455006
JVN14	0.493254285698946
JVN145	0.66760832624624
JVN146	0.714684862793346
JVN147	0.709372259207307
JVN148	0.619928706854239
JVN149	0.596583612131836
JVN15	0.677749636072995
JVN150	0.71747516477777
JVN151	0.717198816064049
JVN152	0.723931928545949
JVN16	0.202344986451325
JVN161	0.78102458062978
JVN162	0.680180011100773
JVN163	0.719510717628398
JVN164	0.714853552090296
JVN165	0.654496816264009
JVN166	0.682558349112065
JVN167	0.716438249607705
JVN168	0.704870715911048
JVN17	0.629386898383697
JVN177	0.613171401479285
JVN178	0.643550653765026
JVN179	0.62161969146237
JVN18	0.697478445181073
JVN180	0.576454084920344
JVN181	0.649389832732006
JVN182	0.535679130049123
JVN183	0.53202961546718
JVN184	0.698538224043584
JVN19	0.680426547441309
JVN193	0.674134387571039
JVN194	0.641391030220474
JVN195	0.647652022135894
JVN196	0.608096522835245
JVN197	0.686701253724476
JVN198	0.659381107366784
JVN199	0.657607088263732
JVN2	0.295978511391235
JVN20	0.573417056809189
JVN200	0.686288241352697
JVN201	0.597486445549392
JVN202	0.66154906648855
JVN203	0.698444839171823
JVN204	0.627723502408682
JVN205	0.65199764431356
JVN206	0.765443701201928
JVN207	0.621547736437464
JVN208	0.682711552278256
JVN21	0.547029895081458
JVN22	0.516202457130899
JVN23	0.680151208133352
JVN24	0.63479514009181
JVN25	0.637926310465588
JVN26	0.672869132030931
JVN27	0.642520305209043
JVN28	0.702861761924977
JVN29	0.655090622079771
JVN3	0.196288592658635
JVN30	0.602507764317569
JVN31	0.661097142326712
JVN32	0.691028752107212
JVN33	0.71371880560206
JVN34	0.644000544091246
JVN35	0.655530369573926
JVN36	0.685165777094416
JVN37	0.660771013692437
JVN38	0.650216552362953
JVN39	0.713323559719668
JVN4	0.120575489398246
JVN40	0.633149517943321
JVN41	0.683722878835446
JVN42	0.695220459370568
JVN43	0.613223808847123
JVN44	0.68763650108153
JVN45	0.598006608837414
JVN46	0.716895576120047
JVN47	0.632466511693306
JVN48	0.633687217076362
JVN49	0.67768454525572
JVN5	0.720570482759529
JVN50	0.669875746439703
JVN51	0.676117698712174
JVN52	0.710806240434859
JVN53	0.623077257217753
JVN54	0.64223401658813
JVN55	0.637540404004831
JVN56	0.667853915022754
JVN57	0.638537166657846
JVN58	0.683431189738919
JVN59	0.714488775055612
JVN6	0.509884221774458
JVN60	0.70321381850797
JVN61	0.722861748251591
JVN62	0.622187609985634
