SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP28	JEP028	A	5.3	6.5	0.15	NONE	2	3.1	7.6	14	11	160	16.1	1.59	166.3	30.4	1.77	315	228	200	10.2	53	4	15	19	9	Temporal
JEP29	JEP029	A	5.2	6.3	0.16	NONE	2	4.4	4.5	8	11.5	172	12	2.46	163.1	20.1	1.45	678	241	55	13.2	54	3	26	15	2	Temporal
JEP30	JEP030	A	5.1	6.1	0.18	NONE	2	4.4	11.9	21	22	177	15.3	2.46	212	34.3	1.87	385	278	171	14.2	62	3	14	16	5	Temporal
JEP31	JEP031	A	5.2	6.3	0.14	NONE	2	2.9	1.6	3	8.5	101	9.8	1.37	108.9	21.1	1.56	580	198	72	11.7	56	2	25	14	3	Temporal
JEP32	JEP032	A	5.1	6.3	0.14	NONE	2	2.9	9.9	18	12.6	125	12.1	1.38	165.8	25.8	1.77	323	328	164	12.6	57	3	12	22	6	Temporal
JEP33	JEP033	A	5.2	6.4	0.14	NONE	2	3.1	3.1	6	9.6	168	11.5	1.69	114.1	29.9	1.37	573	147	89	10.6	54	4	26	12	4	Temporal
JEP34	JEP034	A	5	6.3	0.13	NONE	2	3.6	3.1	5	19	134	17	1.75	196.3	44.3	1.76	312	173	105	10.5	64	3	15	14	4	Temporal
JEP35	JEP035	A	5	6.3	0.14	NONE	2	3.4	2.9	5	14.7	118	14.8	1.76	191.3	35.5	1.42	377	184	93	11.5	64	3	16	13	4	Temporal
JEP36	JEP036	A	5.3	6.5	0.16	NONE	2	2.7	5.9	11	8	251	16.9	1.01	132.2	24.1	1.27	297	214	178	9.4	50	7	16	19	8	Temporal
JEP37	JEP037	A	5.2	6.3	0.13	NONE	2	3.9	4.7	8	10.5	127	9.4	2.53	143.7	16.7	1.48	733	226	42	13.2	54	2	28	14	1	Temporal
JEP38	JEP038	A	5.2	6.3	0.19	NONE	2	3.7	6.8	12	19.1	187	15.9	2.1	215	38.3	2.14	486	347	205	14.2	53	3	17	20	6	Temporal
JEP39	JEP039	A	5.2	6.3	0.16	NONE	2	3.4	2.1	4	9.2	125	10.2	1.63	129.9	21.5	1.38	592	201	84	11.9	55	3	25	14	3	Temporal
JEP40	JEP040	A	5.2	6.3	0.12	NONE	2	3.5	5.2	9	11.2	100	11.8	1.32	210.3	27.4	1.63	289	271	161	11.2	58	2	13	20	6	Temporal
JEP41	JEP041	A	5.1	6.4	0.15	NONE	2	3.2	18.2	33	13.1	114	11.8	1.33	119.2	14.9	1.2	383	116	63	9.1	62	3	21	11	3	Temporal
JEP42	JEP042	A	4.8	6.3	0.15	NONE	2	3.1	13.7	25	17.5	130	15.8	1.36	165.8	16.4	1.46	277	167	99	10	65	3	14	14	4	Temporal
JEP43	JEP043	A	5.2	6.3	0.16	NONE	2	5.2	15.9	29	21.7	135	10.6	1.93	163.8	14.8	1.09	377	158	65	11.1	66	3	16	12	3	Temporal
JEP44	JEP044	A	5.1	6.5	0.15	NONE	2	2.9	9.3	17	10.2	119	12.7	0.89	132.7	12.7	1.22	241	166	132	8.9	61	3	14	16	6	Temporal
JEP45	JEP045	A	5.3	6.3	0.18	NONE	2	5.3	8.6	15	15.6	169	9.7	2.59	156.2	17	1.34	609	219	71	12.3	54	4	25	15	2	Temporal
JEP46	JEP046	A	4.9	6.3	0.18	NONE	2	4.1	17	31	18.5	160	13	1.86	205	20.6	1.82	365	216	123	11.5	60	4	15	16	5	Temporal
JEP47	JEP047	A	5.4	6.4	0.15	NONE	2	4.5	6.4	11	12.4	140	9.4	1.75	133.1	14.9	1.32	476	156	61	10.3	58	3	23	13	3	Temporal
JEP48	JEP048	A	5.1	6.3	0.15	NONE	2	3.2	10.8	19	9.8	85	10.7	0.95	154.6	13.7	1.47	281	301	172	11.7	58	2	12	21	6	Temporal
JEP57	JEP057	A	5	6.3	0.15	NONE	2	3.2	8.1	15	14.8	136	9.7	1.64	157.7	17.7	1.45	485	145	74	11.1	61	3	22	11	3	Temporal
JEP58	JEP058	A	4.8	6.3	0.18	NONE	2	3.9	15.5	28	13.5	99	13.3	1.74	188.6	24.7	1.62	276	151	95	9.9	67	3	13	13	4	Temporal
JEP59	JEP059	A	5.4	6.4	0.11	NONE	2	3.8	5.1	9	16.5	197	10.3	1.79	183.3	17.2	1.19	371	167	74	9.6	57	5	19	15	3	Temporal
JEP60	JEP060	A	5.1	6.5	0.15	NONE	2	2.8	11.9	21	7.8	80	14	0.84	130.7	17.7	1.45	225	180	156	8.2	57	2	14	18	8	Temporal
JEP61	JEP061	A	5.3	6.3	0.23	NONE	2	7.1	24	43	20.4	280	10.8	3.15	134.1	17.4	0.93	636	209	40	12.5	54	6	25	14	1	Temporal
JEP62	JEP062	A	4.9	6.1	0.22	NONE	2	4.7	15.3	27	20.6	149	13.8	2.14	221.4	24.5	1.88	378	211	109	14	68	3	13	13	3	Temporal
JEP63	JEP063	A	5.4	6.4	0.18	NONE	2	4.1	7.8	14	12.2	137	12.3	2.05	110.3	19.9	1.24	599	186	87	11.1	52	3	27	14	3	Temporal
JEP64	JEP064	A	5.1	6.3	0.17	NONE	2	3.4	13	23	13.5	110	9.9	1.22	173.3	15	1.64	278	243	118	11.3	63	2	12	18	5	Temporal
JEP73	JEP073	A	5.4	6.3	0.17	NONE	2	3.9	4	7	9.6	117	10.5	1.8	131.9	17.7	1.15	518	135	77	10.9	60	3	24	10	3	Temporal
JEP74	JEP074	A	4.8	6	0.18	NONE	2	5.1	14.9	27	21.4	134	15.6	1.75	234	16.8	1.37	263	135	91	12.8	75	3	10	9	3	Temporal
JEP75	JEP075	A	5.2	6.3	0.09	NONE	2	3.3	1.4	3	11.4	101	9.6	1.35	132.9	12.9	1.21	334	144	51	10.9	69	2	15	11	2	Temporal
JEP76	JEP076	A	5.3	6.4	0.12	NONE	2	3.7	11.3	20	10.4	105	13.3	1.21	161	13.4	1.27	238	160	138	9.4	64	3	13	14	6	Temporal
JEP77	JEP077	A	5.2	6.2	0.12	NONE	2	5.3	7.1	13	14	189	9.2	2.92	124.7	12.1	1.1	720	219	45	13.9	56	3	26	13	1	Temporal
JEP78	JEP078	A	5.3	6.3	0.23	NONE	2	3.3	8.2	15	18	155	19.4	1.43	146.5	17	1.57	270	332	224	12.6	56	3	11	22	8	Temporal
JEP79	JEP079	A	5.2	6.2	0.07	NONE	2	4	2.3	4	10.1	132	9.9	1.59	191.6	19.4	1.16	522	175	65	13.1	64	3	20	11	2	Temporal
JEP80	JEP080	A	4.8	6	0.14	NONE	2	5.1	12.5	22	17.1	133	13.9	1.88	240.6	19.6	1.61	314	221	96	14.5	71	2	11	13	3	Temporal
JEP89	JEP089	A	5.1	6.2	0.11	NONE	2	3.5	6.8	12	8.8	122	9.8	1.5	121.5	14.6	1.26	462	125	52	11.6	66	3	20	9	2	Temporal
JEP90	JEP090	A	4.9	6.3	0.2	NONE	2	3.9	17.2	31	12.7	122	13.5	1.23	152.2	10.6	1.28	256	142	111	10.5	69	3	12	11	5	Temporal
JEP91	JEP091	A	5	6.1	0.06	NONE	2	3.7	3.7	7	13.2	81	8.5	1.18	147.6	10.6	1.16	307	143	65	11.8	73	2	13	10	2	Temporal
JEP92	JEP092	A	5.3	6.5	0.24	NONE	2	3.1	16.1	29	8.8	229	13.4	0.88	113.2	10.7	1.11	260	207	214	9.5	52	6	14	18	10	Temporal
JEP93	JEP093	A	5.3	6.2	0.14	NONE	2	5.5	14.2	25	11.2	235	8	2.4	124	11.1	0.95	687	211	45	13.6	56	4	25	13	1	Temporal
JEP94	JEP094	A	5.3	6.5	0.27	NONE	2	3.2	8	14	14.7	125	20.9	1.02	134.8	14.2	1.6	263	393	265	11.2	46	3	12	29	10	Temporal
JEP95	JEP095	A	5.2	6.2	0.11	NONE	2	3.3	3.9	7	8.1	121	9.1	1.23	109.9	10.9	1.22	502	166	69	12.7	65	2	20	11	2	Temporal
JEP96	JEP096	A	5.2	6.4	0.24	NONE	2	3.7	15.4	28	9.3	226	15.4	1.41	188.9	20.4	1.27	281	248	159	11.1	57	5	13	19	6	Temporal
JEP105	JEP105	A	5.2	6.3	0.09	NONE	2	3.7	1.5	3	9.9	146	8.4	2.15	143.3	16.1	1.39	473	129	51	11.4	65	3	21	9	2	Temporal
JEP106	JEP106	A	4.9	6.2	0.12	NONE	2	3.4	1.7	3	16	129	12.8	1.6	191	17.4	1.49	235	145	103	11.5	72	3	10	11	4	Temporal
JEP107	JEP107	A	5	6.1	0.14	NONE	2	3.3	1.1	2	9.2	79	10.6	1.42	257	23.8	1.31	344	168	90	12.7	71	2	13	11	3	Temporal
JEP108	JEP108	A	5.1	6.2	0.17	NONE	2	4.7	1.9	3	10.8	108	13.6	1.86	197.5	18.5	1.24	264	161	140	11.4	69	2	12	12	5	Temporal
JEP109	JEP109	A	5.3	6.3	0.11	NONE	2	4.4	1.7	3	7.6	171	8.2	2.27	125.4	10.6	1.26	744	233	50	13.4	53	3	28	14	2	Temporal
JEP110	JEP110	A	5.2	6.2	0.31	NONE	2	5	5	9	33.5	148	28.6	1.56	257.1	16.3	1.53	246	337	234	13.5	60	3	8	21	8	Temporal
JEP111	JEP111	A	5.2	6.2	0.09	HIGH	2	3.3	1.1	2	9.6	126	7	1.69	152.6	15	1.4	527	189	71	12.5	61	3	21	13	2	Temporal
JEP112	JEP112	A	4.8	6	0.21	NONE	2	3.8	2	4	17.6	90	12.3	1.82	242.7	27.7	1.89	305	218	130	13.9	70	2	11	13	4	Temporal
JEP121	JEP121	B	5.6	6.3	0.09	NONE	2	4	0.6	1	13.9	169	8.8	3.11	234.1	21.5	1.58	659	169	51	12.1	56	4	26	12	2	Temporal
JEP122	JEP122	B	5.3	6.1	0.11	NONE	2	5.3	0.3	0	14.3	192	14.7	2.38	201.5	18.1	1.39	281	155	85	13.1	73	4	10	10	3	Temporal
JEP123	JEP123	B	5.2	6.1	0.08	NONE	2	3.6	0.4	1	12.3	169	13.4	2.21	193.6	17.8	1.42	384	175	59	13.1	69	3	15	11	2	Temporal
JEP124	JEP124	B	5.2	5.8	0.24	NONE	2	4.2	0.3	1	13.9	166	18.7	1.91	166.8	16.2	1.5	292	239	249	16.8	70	3	9	12	6	Temporal
